condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene0320	0	0	0	0	0	0	0	0	0	0	0	0	1	350
gene0321	0	0	0	0	0	0	0	0	0	0	0	0	15	36
gene0322	1	1	1	1	1	1	2	1	2	1	1	1	43	12
gene0323	94	37	40	19	18	21	1	1	0	2	2	2	2	2
gene0324	0	0	0	0	0	0	0	0	0	0	0	0	6	23
gene0325	0	0	0	0	0	0	0	0	0	0	0	0	124	68
gene0326	2	2	2	2	2	1	1	1	2	1	1	2	109	31
gene0327	0	2	1	1	3	2	22	17	13	63	32	45	0	0
gene0328	20	14	17	8	7	9	8	7	9	6	5	4	15	78
gene0329	1	0	0	12	2	1	13	21	18	13	13	14	20	1
gene0330	0	1	2	1	0	2	17	16	26	11	4	4	0	0
gene0331	6	5	1	1	0	0	8	6	2	4	3	1	3	18
gene0332	0	0	0	0	0	0	0	1	0	1	3	0	38	4
gene0333	0	0	0	0	0	0	0	0	0	0	0	0	5	51
gene0334	0	0	0	0	0	0	0	0	0	0	0	0	3	106
gene0335	0	0	0	0	0	0	0	0	0	0	0	0	26	8
gene0336	0	0	0	0	0	0	0	0	0	0	0	0	0	39
gene0337	0	0	0	0	0	0	0	0	0	0	0	0	4	34
gene0338	0	0	0	0	0	0	0	0	0	0	0	0	43	17
gene0339	0	1	0	8	6	0	1	3	1	10	29	16	1	1
gene0340	1	1	2	25	13	14	35	61	58	107	227	106	3	0
gene0341	0	0	0	0	0	0	0	0	0	0	0	0	33	11
gene0342	0	0	0	0	0	0	0	0	0	0	0	0	129	53
gene0343	0	0	0	0	0	0	0	0	0	0	0	0	8	685
gene0344	0	0	0	2	0	0	0	0	0	0	0	0	10	0
gene0345	0	0	0	4	8	3	0	0	0	2	0	5	0	0
gene0346	133	75	96	63	23	44	3	2	5	1	1	2	0	0
gene0347	0	0	0	10	1	1	8	10	7	8	10	13	10	0
gene0348	3	7	10	26	57	31	57	159	84	313	486	510	49	24
gene0349	0	0	0	0	0	0	0	0	0	0	0	0	9	0
gene0350	0	0	0	0	0	0	0	0	0	0	0	0	37	13
gene0351	8	21	7	20	20	16	24	34	25	39	48	84	22	14
gene0352	0	0	0	0	0	0	0	0	0	0	0	0	34	80
gene0353	0	0	0	0	0	0	0	0	0	0	0	0	62	0
gene0354	0	0	0	0	0	0	0	0	0	0	0	0	145	31
gene0355	0	0	0	0	0	0	0	0	0	0	0	0	1	52
gene0356	0	0	0	0	0	0	0	0	0	0	0	0	14	35
gene0357	0	0	0	0	0	0	0	0	0	0	0	0	4	120
gene0358	0	0	0	0	0	0	0	0	0	0	0	0	7	133
gene0359	0	0	0	3	1	3	1	20	2	24	57	36	0	0
gene0360	0	0	0	0	0	0	0	0	0	0	0	0	48	17
gene0361	0	0	0	0	0	0	0	0	0	0	0	0	50	6
gene0362	0	0	0	0	0	0	0	0	0	0	0	0	1	12
gene0363	0	0	0	0	0	0	0	0	0	0	0	0	18	4
gene0364	12	53	30	67	61	181	165	341	324	563	424	894	49	74
gene0365	46	84	69	30	33	49	2	3	6	3	2	4	85	4
gene0366	0	0	0	0	0	0	0	0	0	0	0	0	83	13
gene0367	53	67	127	19	27	36	390	402	380	150	515	72	2	1
gene0368	4	7	1	20	14	3	4	7	4	28	42	45	253	16
gene0369	3	18	9	16	20	16	49	31	31	50	24	65	183	20
gene0370	0	0	0	1	0	1	0	0	0	0	0	0	7	2513
gene0371	0	0	0	0	0	0	0	0	0	0	0	0	41	17
gene0372	0	0	0	0	0	0	0	0	0	0	0	0	13	1
gene0373	0	0	0	0	0	0	17	11	14	5	4	5	0	0
gene0374	0	0	0	0	0	0	0	0	0	0	0	0	14	35
gene0375	2	1	1	2	1	0	0	0	0	0	0	0	33	72
gene0376	2	1	1	1	1	1	0	1	1	1	1	0	1	15
gene0377	0	0	0	0	0	0	0	0	0	0	0	0	28	68
gene0378	0	0	0	3	5	4	2	1	3	1	2	3	0	0
gene0379	0	0	0	0	0	0	0	0	0	0	0	0	8	49
gene0380	0	0	0	0	0	0	0	0	0	0	0	0	2	1436
gene0381	0	1	0	4	6	3	1	2	2	1	2	1	0	0
gene0382	0	0	0	0	0	0	0	0	0	0	0	0	157	74
gene0383	0	0	0	0	0	0	0	0	0	0	0	1	168	72
gene0384	0	0	4	19	8	45	430	761	459	931	899	851	106	0
gene0385	9	12	2	1	0	1	0	0	0	0	0	0	0	1
gene0386	0	0	0	0	0	0	0	0	0	0	0	0	1	22
gene0387	0	0	0	0	0	0	0	0	0	0	0	0	151	30
gene0388	0	0	0	0	0	0	0	0	0	0	0	0	11	990
gene0389	0	0	0	0	0	0	0	0	0	0	0	0	4	21
gene0390	1	5	2	12	28	12	61	121	202	242	461	418	2	0
gene0391	0	0	0	0	0	0	0	0	0	0	0	0	42	105
gene0392	0	0	0	0	0	0	0	0	0	0	0	0	67	5
gene0393	0	0	0	0	0	0	0	0	0	0	0	0	5	95
gene0394	1	2	2	2	2	2	6	6	6	4	6	3	6	120
gene0395	0	0	0	0	0	0	0	0	0	1	1	0	23	58
gene0396	7	3	3	2	2	2	1	2	2	0	1	0	18	286
gene0397	0	0	0	1	0	0	0	0	0	0	0	0	17	0
gene0398	0	0	0	0	0	0	0	0	0	0	0	0	13	0
gene0399	0	0	0	0	0	0	0	0	0	0	0	0	11	0
gene0400	3	3	3	7	3	3	14	14	6	32	9	11	33	10
gene0401	0	0	0	0	0	0	0	0	0	0	0	0	20	47
gene0402	3	3	4	3	3	3	1	1	0	1	0	1	191	33
gene0403	0	0	0	0	0	0	0	0	0	0	0	0	4	56
gene0404	55	68	47	148	205	79	224	252	323	264	271	278	670	648
gene0405	0	0	0	0	0	0	0	0	0	0	0	0	3	120
gene0406	5	4	3	3	3	3	7	8	6	5	5	3	5	35
gene0407	0	0	0	0	0	0	0	0	0	0	0	0	6	32
gene0408	1	2	4	0	0	1	3	1	3	1	0	0	13	1
gene0409	0	0	0	0	0	0	0	0	0	0	0	0	69	29
gene0410	0	0	0	0	0	0	0	0	0	0	0	0	142	59
gene0411	0	0	0	0	0	0	0	0	0	0	0	0	31	6
gene0412	92	154	296	60	61	150	50	35	30	17	13	10	255	41
gene0413	0	2	0	4	6	3	10	51	16	128	115	138	2	17
gene0414	2	3	5	1	0	1	12	6	13	14	11	5	68	15
gene0415	1	1	1	0	1	0	0	0	0	0	0	0	7	535
