condition1A	condition1B	condition1C	condition2A	condition2B	condition2C	condition3A	condition3B	condition3C	condition4A	condition4B	condition4C	condition5	condition6
gene3908	0	0	0	0	0	0	0	0	0	0	2	0	11	35
gene3909	0	1	1	1	1	1	2	4	3	5	11	6	275	80
gene3910	0	0	0	0	0	0	0	0	0	0	0	0	15	1
gene3911	2	11	1	5	19	17	9	10	16	12	11	28	1	2
gene3912	10	10	9	69	5	20	0	1	0	0	0	0	1	1
gene3913	0	0	0	0	0	0	0	0	0	0	0	0	10	39
gene3914	2	1	2	17	3	3	3	2	3	2	0	3	0	0
gene3915	0	0	0	0	0	0	0	0	0	0	0	0	28	8
gene3916	0	0	0	0	0	0	0	0	0	0	0	0	2	15
gene3917	0	0	0	2	2	2	1	2	1	3	2	15	1	2
gene3918	1	2	3	1	0	7	66	50	71	60	40	31	22	0
gene3919	2	4	0	10	7	0	5	3	4	7	15	4	166	79
gene3920	0	0	0	0	0	0	0	0	0	0	0	0	7	28
gene3921	0	0	0	0	0	0	0	0	0	0	0	0	607	237
gene3922	6	16	4	18	17	17	11	15	21	38	43	61	2	1
gene3923	2	2	4	2	1	1	2	3	1	2	1	2	9	46
gene3924	1	1	1	2	1	2	3	2	2	13	2	23	1	1
gene3925	0	0	0	0	0	0	0	0	0	0	0	0	30	7
gene3926	0	0	0	0	0	0	0	0	0	0	0	0	3	25
gene3927	3	5	6	2	1	1	5	4	3	1	2	1	2	57
gene3928	7	7	6	17	16	3	200	118	105	539	550	234	1	1
gene3929	0	0	0	0	0	0	0	0	0	0	0	0	13	1
gene3930	11	12	7	14	16	15	28	26	30	24	22	21	3	131
gene3931	0	0	0	0	0	0	0	0	0	0	0	0	38	0
gene3932	0	0	0	0	0	0	0	0	0	0	0	0	39	20
gene3933	0	0	0	0	0	0	24	17	2	9	5	4	2	2
gene3934	0	0	0	0	0	0	0	0	0	0	0	0	2	78
gene3935	0	0	0	0	0	0	0	0	0	0	0	0	8	97
gene3936	72	94	111	85	157	125	77	72	110	70	75	61	108	327
gene3937	0	0	0	0	0	0	0	0	0	0	0	0	81	11
gene3938	0	0	0	0	0	0	0	0	0	0	0	0	3	19
gene3939	0	1	0	0	2	0	0	0	0	0	0	0	9	39
gene3940	0	0	0	0	0	0	0	0	0	0	0	0	4	19
gene3941	0	0	0	0	1	0	0	0	0	0	0	0	16	69
gene3942	0	0	0	0	0	0	0	0	0	0	0	0	0	42
gene3943	0	1	1	4	9	6	19	60	34	69	115	86	2	0
gene3944	1	8	3	11	26	11	7	15	13	10	12	8	1	0
gene3945	505	328	228	165	150	120	0	0	0	0	0	0	8	19
gene3946	0	0	0	0	0	0	0	0	0	0	0	0	1	14
gene3947	0	0	0	0	0	0	0	0	0	0	0	0	93	22
gene3948	8	8	11	3	1	2	8	5	4	6	3	4	9	4
gene3949	2	6	4	17	18	15	39	65	50	125	128	148	12	4
gene3950	0	0	0	8	2	2	15	11	3	27	4	8	0	0
gene3951	0	0	0	0	0	0	0	0	0	0	0	0	4	34
gene3952	3	6	3	10	13	7	6	11	8	11	18	17	2	1
gene3953	10	36	18	28	73	54	64	127	110	92	85	140	28	3
gene3954	0	0	0	0	0	0	0	0	0	0	0	0	0	72
gene3955	0	0	0	0	0	0	0	0	0	0	0	0	147	49
gene3956	0	0	0	0	0	0	0	0	0	0	0	0	0	23
gene3957	0	0	0	1	0	1	0	0	0	1	0	0	27	93
gene3958	0	0	0	0	0	0	0	0	0	0	0	0	36	11
gene3959	0	0	0	0	0	0	0	0	0	0	0	0	117	67
gene3960	11	6	19	6	1	3	2	2	1	2	2	2	1	0
gene3961	0	0	0	0	0	0	0	0	0	0	0	0	11	38
gene3962	0	0	0	0	0	0	0	0	0	0	0	0	10	32
gene3963	0	0	0	0	0	0	0	0	0	0	0	0	16	39
gene3964	0	0	0	1	4	0	1	3	8	19	11	109	1	0
gene3965	0	1	0	1	0	0	0	0	0	0	0	0	0	39
gene3966	1	1	3	26	46	48	122	192	223	613	463	888	143	13
gene3967	0	0	0	0	0	0	0	0	0	0	0	0	1	13
gene3968	3	6	2	14	9	9	7	9	15	6	6	6	1	0
gene3969	0	0	0	0	0	0	0	0	0	0	0	0	10	0
gene3970	2	2	5	0	0	2	1	0	1	0	0	0	100	28
gene3971	0	0	0	0	0	0	0	0	0	0	0	0	2	13
gene3972	0	0	0	0	0	0	0	0	0	0	0	0	8	26
gene3973	6	80	59	9	2	10	304	307	156	187	240	41	4	138
gene3974	0	0	0	0	0	0	0	0	0	0	0	0	19	0
gene3975	0	0	0	0	0	0	0	0	0	0	0	0	63	21
gene3976	16	40	25	41	61	52	15	16	36	27	14	61	10	19
gene3977	0	0	0	0	0	0	0	0	0	0	0	0	40	0
gene3978	0	0	0	0	0	0	0	0	0	0	0	0	19	3
gene3979	0	0	0	0	0	0	0	0	0	0	0	0	18	41
gene3980	4	3	2	3	3	2	3	3	3	2	2	1	2	20
gene3981	14	315	20	229	2865	1529	653	742	1797	560	1112	1353	2	3
gene3982	0	0	1	1	0	0	0	0	0	0	0	0	3	33
gene3983	0	0	0	0	0	0	0	0	0	0	0	0	5	23
gene3984	0	0	0	0	0	0	0	0	0	0	0	0	6	124
gene3985	20	17	45	20	7	19	1	1	2	2	1	2	22	5
gene3986	2	2	3	1	1	2	2	1	1	1	1	1	0	12
gene3987	0	0	0	0	0	0	0	0	0	0	0	0	2	29
gene3988	7	5	8	4	3	5	5	4	6	1	1	1	1	24
gene3989	0	0	1	7	2	5	19	27	50	21	33	23	0	1
gene3990	9	11	1	1	0	2	0	0	0	0	0	0	2	1
gene3991	0	0	0	0	0	0	23	15	15	412	287	930	0	0
gene3992	0	0	0	0	0	0	1	1	1	2	2	4	0	15
gene3993	0	1	1	10	13	7	4	6	10	27	35	37	1	1
gene3994	0	0	0	0	0	0	0	0	0	0	0	0	1	17
gene3995	0	0	0	0	0	0	0	0	0	0	0	0	17	116
gene3996	12	1	3	31	4	3	0	0	0	0	0	0	0	0
gene3997	0	0	0	0	0	0	0	0	0	0	0	0	8	31
gene3998	0	0	0	0	0	0	0	0	0	0	0	0	0	79
gene3999	0	2	0	0	0	1	0	0	0	0	0	0	36	3
gene4000	0	0	0	0	0	0	0	0	0	0	0	0	1	81
gene4001	0	0	0	0	0	0	0	0	0	0	0	0	1	28
gene4002	8	8	8	7	6	5	14	14	11	16	15	16	2	19
gene4003	1	1	0	3	4	2	27	37	47	21	11	18	0	1
gene4004	4	3	3	2	2	2	2	2	2	2	2	1	2	20
gene4005	5	12	4	17	23	15	7	12	9	22	35	20	222	324
gene4006	0	0	0	2	1	0	2	2	1	13	17	11	17	11
gene4007	0	0	0	0	0	0	0	0	0	0	0	0	43	21
gene4008	1	1	1	1	1	1	9	8	6	13	9	15	16	66
gene4009	0	0	0	0	0	0	0	0	0	0	0	0	446	12
gene4010	0	0	0	0	0	0	0	0	0	0	0	0	72	17
gene4011	1	1	1	1	0	0	0	0	0	0	0	0	24	51
gene4012	21	12	15	4	2	5	1	1	0	1	0	0	2	1
gene4013	0	0	0	0	0	0	0	0	0	0	0	0	115	48
gene4014	0	0	0	1	0	0	0	0	0	0	0	0	23	5
gene4015	37	45	19	15	6	13	8	7	10	6	9	6	0	1
gene4016	0	0	0	0	0	0	0	0	0	0	0	0	0	12
gene4017	0	0	0	0	0	0	0	0	0	0	0	0	40	20
gene4018	0	0	0	0	0	0	0	0	0	0	0	0	47	102
gene4019	2	4	1	19	24	15	13	18	17	13	37	20	0	1
gene4020	15	15	13	12	12	14	13	15	14	12	13	12	8	46
gene4021	0	1	1	0	0	0	0	0	0	0	0	0	46	20
gene4022	0	6	1	4	10	13	18	45	37	18	25	16	1	4
gene4023	0	0	0	0	0	0	0	0	0	0	0	0	4	19
gene4024	0	0	0	0	0	0	0	0	0	0	0	0	31	4
gene4025	12	9	10	9	12	9	4	4	4	5	4	4	7	34
gene4026	0	0	0	0	0	0	0	0	0	0	0	0	66	40
gene4027	0	0	1	3	8	5	0	0	0	0	0	0	0	0
gene4028	0	0	0	0	0	0	0	0	0	0	0	0	0	11
gene4029	0	0	0	9	36	10	16	26	35	83	185	114	0	35
gene4030	0	0	0	0	0	0	0	0	0	0	0	0	16	3
gene4031	0	0	0	1	1	1	1	1	2	1	1	1	10	37
gene4032	0	0	0	0	0	0	0	0	0	0	0	0	43	4
gene4033	0	0	0	0	1	0	0	0	1	5	3	6	0	1
gene4034	0	0	0	0	0	0	0	0	0	0	0	0	42	1
gene4035	3	8	2	22	85	33	232	944	824	285	1090	590	0	20
gene4036	0	0	0	0	0	0	0	0	0	0	0	0	2	42
gene4037	8	9	7	31	21	18	21	24	33	157	91	337	7	0
gene4038	0	0	0	3	8	3	0	0	0	0	0	0	0	0
gene4039	0	0	0	0	0	0	0	0	0	0	0	0	21	58
gene4040	0	0	0	0	0	0	2	1	2	0	0	0	13	35
gene4041	0	0	0	0	0	0	0	0	0	0	0	0	5	21
gene4042	16	13	22	7	2	5	2	2	3	2	0	1	17	5
gene4043	0	0	0	2	1	0	2	4	2	15	15	27	2	0
gene4044	0	0	0	0	0	0	0	0	0	0	0	0	2	15
gene4045	1	3	0	12	23	11	9	31	23	59	77	132	1	0
gene4046	0	2	0	3	7	4	1	3	4	11	15	17	1	3
gene4047	1	4	1	6	11	8	3	3	3	3	2	5	0	0
gene4048	142	60	54	50	35	38	21	16	24	4	9	2	4	765
gene4049	0	2	0	8	17	4	0	0	0	0	0	0	4	4
gene4050	0	0	0	0	0	0	0	0	0	0	0	0	113	56
gene4051	9	17	33	5	0	5	23	12	5	9	3	4	0	0
gene4052	0	1	0	6	3	0	1	1	1	5	13	4	87	19
gene4053	0	0	0	0	0	0	0	0	0	0	0	0	51	10
gene4054	83	118	51	101	206	107	232	146	241	78	52	164	1	0
gene4055	0	0	0	0	0	0	0	0	0	0	0	0	4	21
gene4056	1	0	1	0	0	0	1	0	1	66	41	36	1	0
gene4057	0	0	0	1	1	1	11	6	4	30	29	11	7	2
gene4058	0	0	0	0	0	0	0	0	0	0	0	0	9	52
gene4059	0	0	0	4	2	2	2	5	2	12	18	20	12	2
gene4060	0	0	0	0	0	0	0	0	0	0	0	0	20	45
gene4061	0	0	0	0	0	0	0	0	0	0	0	0	5	24
gene4062	0	0	0	0	0	0	0	0	0	0	0	0	15	3
gene4063	60	35	27	14	10	20	6	4	6	3	2	2	1	4
gene4064	5	4	32	1	0	6	1	0	0	1	0	0	15	2
gene4065	0	0	0	0	0	0	0	0	0	0	0	0	51	9
gene4066	0	0	0	1	1	1	0	0	0	0	0	0	0	14
gene4067	2	4	5	5	9	7	30	32	47	85	95	96	2	1
gene4068	1	1	1	1	1	0	1	1	1	1	1	1	5	20
gene4069	0	0	0	0	0	0	0	0	0	0	0	0	14	2
gene4070	59	61	49	59	41	61	22	29	28	9	19	9	10	8
gene4071	15	5	4	2	0	0	0	0	0	0	0	0	0	2
gene4072	2	2	2	3	3	2	1	2	1	1	1	1	0	16
gene4073	0	0	0	0	0	0	0	0	0	0	0	0	55	30
gene4074	0	0	0	0	0	0	0	0	0	0	0	0	1	150
gene4075	0	0	0	0	0	0	0	0	0	0	0	0	8	44
gene4076	1	2	1	6	8	8	6	10	9	6	9	21	2	3
gene4077	64	108	74	215	193	165	223	346	326	404	440	685	48	8
gene4078	3	5	1	1	1	1	13	13	43	10	8	14	3	2
gene4079	1	2	0	4	8	4	2	5	3	6	7	14	78	55
gene4080	0	0	0	0	0	0	0	0	0	0	0	0	8	27
gene4081	4	4	3	4	5	3	4	4	3	4	2	4	28	215
gene4082	45	43	45	13	14	20	31	21	47	26	13	19	5	10
gene4083	3	3	2	1	1	1	1	1	0	1	0	1	2	16
gene4084	0	3	0	8	13	5	11	15	9	34	27	56	135	2
gene4085	3	3	3	4	4	6	41	79	128	25	39	61	0	1
gene4086	0	0	0	0	0	0	0	0	0	0	0	0	33	7
gene4087	0	0	0	0	0	0	0	0	0	0	1	0	20	48
gene4088	0	0	0	0	0	0	0	0	0	0	0	0	2	13
gene4089	0	2	0	4	13	3	2	4	3	4	6	9	36	3
gene4090	11	9	8	12	11	9	13	16	12	12	12	16	4	25
gene4091	0	0	0	0	0	0	0	0	0	0	0	0	20	0
gene4092	3	4	5	3	4	4	9	9	10	5	6	4	0	13
gene4093	0	0	0	0	0	0	0	0	0	0	0	0	52	6
gene4094	0	0	0	0	0	0	60	14	7	32	4	5	2	0
gene4095	0	0	0	0	0	0	0	0	0	0	0	0	40	79
gene4096	0	0	0	0	0	0	0	0	0	0	0	0	22	220
gene4097	0	0	0	0	0	0	0	0	0	0	0	0	135	5
gene4098	0	0	0	0	0	0	0	0	0	0	0	0	40	8
gene4099	0	1	0	5	3	0	0	0	1	13	25	23	25	38
gene4100	12	25	15	25	31	23	33	35	54	12	10	12	2	0
gene4101	0	0	0	0	0	0	0	0	0	0	0	0	11	65
gene4102	0	0	0	0	0	0	0	0	0	0	0	0	144	14
gene4103	0	0	0	0	0	0	0	0	0	0	0	0	9	27
gene4104	0	0	0	0	0	0	0	0	0	0	0	0	35	10
gene4105	19	30	27	29	29	37	37	49	52	114	159	122	0	0
gene4106	0	0	0	0	0	0	0	0	0	0	0	0	4	40
gene4107	14	21	26	11	3	3	6	6	4	10	6	6	0	0
gene4108	0	0	0	0	0	0	0	0	0	0	0	0	6	70
gene4109	0	0	0	0	0	0	0	0	0	0	0	0	1	18
gene4110	0	0	0	0	0	0	0	0	0	0	0	0	139	5
gene4111	12	7	12	13	7	9	13	18	16	10	12	11	48	9
gene4112	1	0	0	0	0	0	0	0	0	0	0	0	17	4
gene4113	1	0	0	3	0	0	0	0	0	0	0	0	2	15
gene4114	0	0	0	0	0	0	0	0	0	0	0	0	33	0
gene4115	228	149	84	151	84	96	75	94	94	17	32	10	292	234
gene4116	0	0	0	0	0	0	0	0	0	0	0	0	13	36
gene4117	93	41	62	26	21	28	19	17	11	14	14	8	31	41
gene4118	0	0	0	0	0	0	0	0	0	0	0	0	32	1
gene4119	1	7	1	15	19	19	12	18	21	8	4	7	3	2
gene4120	0	0	0	0	0	0	0	0	0	0	0	0	73	42
gene4121	0	0	0	0	0	0	0	0	0	0	0	0	5	41
gene4122	0	0	0	0	0	0	0	0	0	0	0	0	31	12
gene4123	0	0	0	0	0	0	0	0	0	0	0	0	5	35
gene4124	0	0	0	0	0	0	0	0	0	0	0	0	42	19
gene4125	0	0	0	0	0	0	0	0	0	0	0	0	0	9
gene4126	0	0	0	0	0	0	0	0	0	0	0	0	6	24
gene4127	8	4	6	45	13	14	1	2	1	1	1	1	0	1
gene4128	0	0	0	1	1	0	2	11	2	71	82	67	467	85
gene4129	7	9	6	7	13	4	16	12	13	5	4	6	18	14
gene4130	1	2	2	4	4	4	14	17	18	68	84	87	6	4
gene4131	0	0	0	4	0	0	12	16	14	18	15	17	22	5
gene4132	0	0	0	0	0	0	0	0	0	0	0	0	24	4
gene4133	0	0	0	0	0	0	0	0	0	0	0	0	108	40
gene4134	0	0	0	0	0	0	0	0	0	0	0	0	16	3
gene4135	2	3	2	5	4	3	4	3	2	3	2	4	41	1
gene4136	0	0	0	0	0	0	0	0	0	0	0	0	0	9
gene4137	0	0	0	0	0	0	0	0	0	0	0	0	2	43
gene4138	0	0	0	0	0	0	0	0	0	0	0	0	38	0
gene4139	0	1	2	12	4	9	11	13	18	17	10	16	107	3
gene4140	1	0	1	1	1	0	0	0	0	0	0	0	3	19
gene4141	21	18	21	13	8	17	47	37	32	25	12	25	71	67
gene4142	0	0	0	0	0	0	0	0	0	0	0	0	5	27
gene4143	2	2	2	2	2	2	11	9	10	7	7	5	39	1
gene4144	0	0	0	0	0	0	0	0	0	0	0	0	2	15
gene4145	7	21	15	39	49	8	17	35	38	11	19	23	66	25
gene4146	0	0	0	7	2	4	2	1	0	5	1	1	8	0
gene4147	0	0	0	0	0	0	0	0	0	0	0	0	9	32
gene4148	11	14	11	13	16	14	2	1	5	2	1	2	5	39
gene4149	0	0	0	0	0	0	0	0	0	0	0	0	45	4
gene4150	22	26	5	24	21	16	29	18	22	17	19	14	178	75
gene4151	0	0	0	0	0	0	0	0	0	0	0	0	22	48
gene4152	11	25	17	69	40	41	35	65	51	88	60	111	43	6
gene4153	0	0	0	0	0	0	0	0	0	0	0	0	26	63
gene4154	1	6	1	3	2	5	51	33	58	35	12	17	4	1
gene4155	6	8	9	6	5	8	19	13	14	10	5	4	13	7
gene4156	3	4	3	4	3	5	15	14	18	13	14	13	31	168
gene4157	0	0	0	0	0	0	0	0	0	0	0	0	95	6
gene4158	0	0	0	0	0	0	0	0	0	0	0	0	135	43
gene4159	0	0	0	0	0	0	0	0	0	0	0	0	0	76
gene4160	15	16	10	27	44	22	60	59	62	104	124	107	1	1
gene4161	1	3	0	2	7	2	3	4	3	29	13	35	2	0
gene4162	23	29	43	13	9	16	14	16	13	16	12	15	17	10
gene4163	0	0	0	0	0	0	0	0	0	0	0	0	39	80
gene4164	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene4165	3	55	108	22	1	81	1	1	2	1	1	3	2	1511
gene4166	1	0	1	1	1	1	14	16	7	25	59	7	1	3
gene4167	0	0	0	0	0	0	0	0	0	0	0	0	4	20
gene4168	0	0	0	0	0	0	0	0	0	0	0	0	7	28
gene4169	0	0	0	0	0	0	0	0	0	0	0	0	2	15
gene4170	1	1	2	22	53	28	275	628	609	815	1148	1377	0	0
gene4171	0	0	0	0	0	0	0	0	0	0	0	0	28	10
gene4172	9	22	7	47	74	30	59	108	68	82	100	111	33	9
gene4173	4	14	6	9	23	16	6	11	15	24	37	31	0	0
gene4174	40	25	14	25	27	15	58	30	35	14	13	23	1	2
gene4175	0	0	0	0	0	0	0	0	0	0	0	0	0	14
gene4176	1	0	0	1	0	0	1	2	1	3	1	2	0	11
gene4177	1	4	6	1	0	1	1	0	0	1	1	0	95	8
gene4178	10	11	8	17	23	13	17	20	23	45	54	89	24	24
gene4179	1	1	1	1	1	1	2	3	2	4	4	5	30	9
gene4180	137	382	278	159	202	134	30	2	4	6	7	3	5	48
gene4181	0	0	0	0	0	0	1	0	0	1	1	0	4	30
gene4182	0	0	0	0	0	0	0	0	0	0	0	0	19	59
gene4183	0	1	0	10	19	6	3	5	4	12	14	28	1	0
gene4184	11	7	9	9	6	8	4	5	4	3	4	3	6	23
gene4185	6	162	3	76	880	214	48	53	164	32	67	104	0	2
gene4186	0	0	0	1	0	1	9	5	9	2	1	1	0	0
gene4187	0	0	0	0	0	0	0	0	0	0	0	0	22	7
gene4188	0	0	0	0	0	0	0	0	0	0	0	0	6	29
gene4189	0	0	0	0	0	0	0	0	0	0	0	0	544	156
gene4190	0	0	0	0	0	0	0	0	0	0	0	0	31	6
gene4191	35	88	56	160	136	132	80	116	126	65	90	82	4	0
gene4192	0	0	0	0	0	0	0	0	0	0	0	0	5	58
gene4193	0	0	0	7	2	3	7	29	14	45	55	54	0	0
gene4194	55	43	36	56	37	29	26	21	28	7	6	4	5	1
gene4195	0	0	0	0	0	0	1	0	0	1	0	0	21	6
gene4196	0	0	0	0	0	0	0	0	0	0	0	0	123	47
gene4197	0	0	0	0	0	0	0	0	0	0	0	0	92	56
gene4198	26	47	80	10	1	57	237	146	382	131	88	95	2	0
gene4199	0	0	0	0	0	0	0	0	0	0	0	0	9	0
gene4200	0	0	0	0	0	0	0	0	0	0	0	0	12	33
gene4201	47	29	31	26	18	22	21	23	36	25	15	19	37	0
gene4202	0	0	0	0	0	0	0	0	0	0	0	0	15	200
gene4203	0	0	0	0	0	0	0	0	0	0	0	0	70	7
gene4204	0	0	0	0	0	0	0	0	0	0	0	0	118	36
gene4205	0	0	0	0	0	0	0	0	0	0	0	0	20	4
gene4206	0	0	0	0	0	0	0	0	0	0	0	0	21	4
gene4207	0	0	0	0	0	0	0	0	0	0	0	0	6	23
gene4208	89	101	114	109	143	134	301	284	296	777	737	657	49	210
gene4209	0	0	0	0	0	0	0	0	0	0	0	0	31	205
gene4210	0	0	0	0	0	0	0	0	0	0	0	0	7	33
gene4211	2	0	1	11	26	25	39	115	60	370	602	611	77	70
gene4212	6	9	7	6	17	7	70	127	136	47	63	54	22	12
gene4213	11	6	2	186	260	91	252	373	582	225	376	415	0	0
gene4214	2	1	1	2	1	1	1	1	1	0	0	1	231	21
gene4215	2	9	17	1	0	6	56	15	36	4	3	1	9	0
gene4216	0	0	0	0	0	0	0	0	0	0	0	0	35	14
gene4217	0	0	0	0	0	0	0	0	0	0	0	0	139	75
gene4218	0	0	0	0	0	0	0	0	0	0	0	0	12	0
gene4219	3	6	1	6	45	3	6	8	6	14	17	8	0	2
gene4220	0	1	1	2	0	0	1	1	0	3	2	1	8	33
gene4221	4	9	5	9	26	4	23	27	32	9	9	8	15	8
gene4222	0	0	0	0	0	0	0	0	0	0	0	0	9	0
gene4223	27	17	13	16	14	11	17	20	18	17	17	14	140	54
gene4224	4	8	2	3	6	4	6	9	9	6	5	4	1	32
gene4225	0	0	0	0	0	0	0	0	0	0	0	0	2	23
gene4226	0	0	0	0	0	0	0	0	0	0	0	0	16	0
gene4227	0	0	0	2	0	0	0	0	0	0	0	0	33	11
gene4228	0	0	0	0	0	0	0	0	0	0	0	0	21	67
gene4229	1	1	2	0	0	1	1	0	1	0	0	0	0	20
gene4230	0	0	0	0	0	0	0	0	0	0	0	0	69	4
gene4231	0	0	0	0	0	0	0	0	0	0	0	0	34	14
gene4232	0	0	0	0	0	0	0	0	0	0	0	0	28	0
gene4233	0	0	0	0	0	0	0	0	0	0	0	0	20	4
gene4234	75	50	35	42	36	28	25	27	22	19	22	19	28	257
gene4235	3	3	2	2	2	2	2	2	2	2	2	2	7	28
gene4236	3	6	4	4	1	2	49	37	63	59	38	73	24	119
gene4237	0	0	0	0	0	0	0	0	0	0	0	0	0	33
gene4238	0	0	0	0	0	0	0	0	0	0	0	0	2	14
gene4239	8	4	6	16	7	8	9	9	7	26	26	22	15	1
gene4240	3	2	2	1	0	1	16	24	18	5	18	3	7	1932
gene4241	1453	1421	1484	1541	894	1349	201	218	401	76	98	122	0	0
gene4242	0	0	0	0	0	0	0	0	0	0	0	0	30	4
gene4243	0	0	0	0	0	0	0	0	0	0	0	0	53	104
gene4244	0	0	0	0	0	0	0	0	0	0	0	0	2	27
gene4245	1	1	1	1	1	1	2	2	2	1	1	1	1	30
gene4246	0	0	0	0	0	0	0	0	0	0	0	0	8	0
gene4247	0	0	0	0	0	0	0	0	0	0	0	0	0	12
gene4248	0	0	0	0	0	0	0	1	0	0	1	0	364	5
gene4249	0	0	0	0	0	0	0	0	0	1	0	0	75	1
gene4250	6	6	6	7	5	6	5	5	7	7	6	5	7	63
gene4251	2	2	2	3	1	2	0	1	1	0	0	0	0	49
gene4252	0	0	0	0	0	0	0	0	0	0	0	0	286	101
gene4253	0	0	0	0	0	0	0	0	0	0	0	0	5	81
gene4254	0	1	0	2	3	1	1	2	1	1	1	0	50	15
gene4255	0	0	0	0	0	0	0	0	0	0	0	0	20	114
gene4256	1	1	0	0	0	1	0	0	0	0	0	0	1	31
gene4257	0	3	0	2	27	6	1	3	3	34	36	112	2	2
gene4258	1	1	1	1	1	1	2	1	1	1	1	1	5	32
gene4259	0	0	0	0	0	0	0	0	0	0	0	0	0	20
gene4260	28	79	43	73	166	115	56	88	73	110	112	170	1	0
gene4261	9	8	7	9	6	7	21	23	27	198	115	240	5	7
gene4262	0	0	0	0	0	0	0	0	0	0	0	0	3	53
gene4263	0	0	0	0	0	0	0	0	0	0	0	0	119	53
gene4264	45	37	29	29	26	22	14	13	12	8	9	14	2	16
gene4265	3	2	2	2	1	1	0	1	0	0	0	0	0	17
gene4266	0	0	0	1	0	0	0	0	0	0	0	0	72	30
gene4267	0	0	0	0	0	0	0	0	0	0	0	0	254	128
gene4268	1	3	4	29	4	10	0	0	0	0	0	0	3	6
gene4269	1	6	2	10	9	9	7	7	9	3	4	7	3	13
gene4270	12	6	9	3	1	2	1	1	1	1	1	0	1	2
gene4271	0	0	0	0	0	0	0	0	0	0	0	0	3	25
gene4272	16	23	44	10	16	10	6	3	3	5	4	3	100	39
gene4273	0	0	0	0	0	0	0	0	0	0	0	0	28	75
gene4274	0	0	0	0	0	0	0	0	0	0	0	0	28	6
gene4275	17	122	97	320	452	313	155	368	304	478	501	812	449	162
gene4276	0	0	0	0	0	0	0	0	0	0	0	0	17	74
gene4277	0	0	0	0	0	0	0	0	0	1	0	1	11	67
gene4278	1	3	2	9	10	5	7	12	10	22	28	21	0	0
gene4279	0	0	0	0	0	0	0	0	0	0	0	0	6	36
gene4280	0	0	0	0	0	0	0	0	0	0	0	0	45	16
gene4281	0	0	0	0	0	0	0	0	0	0	0	0	141	574
gene4282	0	0	0	0	0	0	0	0	0	0	0	0	19	110
gene4283	8	8	7	8	8	10	2	2	2	0	1	0	3	21
gene4284	2	7	1	17	20	11	17	24	22	28	42	41	3	9
gene4285	15	8	9	7	14	8	44	31	65	25	24	30	2	1
gene4286	1	14	1	1	10	16	3	4	7	15	25	50	1	0
gene4287	10	13	16	13	13	15	18	23	21	40	35	64	20	16
gene4288	8	5	11	6	6	6	9	11	7	21	20	27	9	4
gene4289	184	131	101	72	33	93	71	59	62	19	18	15	7	12
gene4290	79	62	86	21	26	18	24	17	14	32	15	22	9	5
gene4291	0	0	0	0	0	0	0	0	0	0	0	0	59	35
gene4292	0	1	0	6	1	6	31	75	72	89	69	224	11	27
gene4293	0	0	0	0	0	0	0	0	0	0	0	0	58	12
gene4294	0	1	0	0	1	0	1	2	1	2	1	3	22	1
gene4295	0	1	0	2	3	2	4	8	3	11	20	21	48	7
gene4296	0	0	0	0	0	0	0	0	0	0	0	0	47	16
gene4297	18	10	13	4	1	3	2	2	1	1	1	1	3	34
gene4298	0	0	0	0	0	0	0	0	0	0	0	0	4	41
gene4299	2	1	3	1	5	4	17	20	6	1	14	21	106	29
gene4300	1	0	1	1	1	0	0	1	0	1	1	1	30	67
gene4301	0	0	0	0	0	0	1	0	0	1	0	0	2	196
gene4302	0	0	0	0	0	0	0	0	0	0	0	0	3	18
gene4303	0	0	0	2	1	0	0	3	2	10	9	7	1	1
gene4304	4	20	8	10	42	33	75	99	81	173	197	198	7	2
gene4305	0	0	0	0	0	0	0	0	0	0	0	0	27	55
gene4306	0	0	0	0	0	0	0	0	0	0	0	0	57	176
gene4307	0	0	0	0	0	0	0	0	0	0	0	0	46	107
gene4308	1	1	1	3	4	3	7	12	11	26	40	32	1	1
gene4309	19	34	19	18	6	10	40	16	12	21	3	10	1	0
gene4310	0	0	0	0	0	0	0	0	0	0	0	0	9	2574
gene4311	0	0	0	0	0	0	0	0	0	0	0	0	19	5
gene4312	0	0	0	0	0	0	0	0	0	0	0	0	3	28
gene4313	14	28	7	23	54	17	51	33	69	178	181	253	15	21
gene4314	0	0	0	0	1	0	0	1	0	0	0	0	6	32
gene4315	0	0	0	0	0	0	0	0	0	0	0	0	4	18
gene4316	9	9	11	19	5	8	31	33	28	16	15	9	12	11
gene4317	0	0	0	0	0	0	0	0	0	0	0	0	40	21
gene4318	2	75	43	5	0	55	137	22	30	59	6	4	148	51
gene4319	0	0	0	0	0	0	0	0	0	0	0	0	2	36
gene4320	3	9	4	12	19	13	20	18	12	61	168	19	3	2
gene4321	0	0	0	0	0	0	0	0	0	0	0	0	13	47
gene4322	0	0	0	0	0	0	0	0	0	0	0	0	6	53
gene4323	5	2	2	4	2	3	2	2	1	2	1	2	1	22
gene4324	0	0	0	0	0	0	0	0	0	0	0	0	17	1
gene4325	0	0	0	0	0	0	0	0	0	0	0	0	368	59
gene4326	1	7	3	10	18	10	13	26	23	14	15	33	0	0
gene4327	0	0	0	0	0	0	0	0	0	0	0	0	122	59
gene4328	0	0	0	0	0	0	1	1	1	0	0	0	9	49
