no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0151	10	9	9	20.7788423352739	32.575088090065	893.339193017106	5.39692949564341	5.56740067594443	0.563688733194764
g0152	10	10	10	118.505095154439	121.44627959949	1885.29221353056	7.15467907932268	7.12631088961635	0.184496574323078
g0153	1	0	0	0	0.0895421349850653	0.0801779393768366	3.6491789472175	3.68760705372851	0.01476719370021
g0154	2	0	0	0	0.482209085733758	1.44176567233646	3.6491789472175	3.76897072641139	0.0711351927536608
g0155	10	10	10	136.798773119898	152.196309828433	4066.63324328293	7.32761673024677	7.37368111279276	0.286553606328658
g0156	10	10	10	67.6969670595601	67.1840816500896	1410.38832615797	6.50808577550349	6.35482360309257	0.484618691129085
g0157	9	6	5	9.7975759319955	24.1207266319595	1285.38903791496	4.88047811104942	4.99945006360911	1.24878304025997
g0159	10	10	8	16.0825262649114	27.9166561969389	588.510845185946	5.2056445922318	5.45098664714838	0.503697814234507
g0161	1	0	0	0	0.171110894356779	0.292789381675766	3.6491789472175	3.70215987187042	0.0280697837707759
g0162	9	9	9	47.777006660664	46.8680230048743	948.211848227436	6.13831925809016	5.87232445904981	0.930514674578758
g0164	10	8	5	9.18016007488914	10.0234961845579	27.0727087608471	4.84705517258492	4.85799024141267	0.0910701017347348
g0165	10	10	10	591.656465257996	679.951479123331	192071.257134107	9.26708360229045	9.20438955061857	0.870477249198811
g0166	10	10	9	25.2063336002543	27.9597082734698	241.6762677468	5.55180949097269	5.55843483947458	0.233799981623682
g0168	10	10	9	30.4762112833852	31.8968586872229	214.153746716062	5.71138604573778	5.69130931746328	0.195507270660629
g0169	9	3	0	2.09527723720724	2.62230510397428	4.16562738630332	4.23395545940394	4.23231781208913	0.0931289344016934
g0171	3	2	0	0	1.83031747698675	10.547854144798	3.6491789472175	3.93800834134587	0.230108540495769
g0172	3	0	0	0	0.454352137359649	0.698960845459017	3.6491789472175	3.7949962983158	0.0591246956013356
g0173	1	0	0	0	0.249446405221232	0.622235090777953	3.6491789472175	3.71298663768349	0.0407142136260289
g0174	9	8	8	59.7548693887753	66.6764721846883	3995.27316227696	6.3727086651981	6.002240583807	1.7830703446484
g0175	10	10	10	83.5696017917794	571.042010570232	1153981.61927842	6.74301084462268	7.55158360023354	4.02043859366028
g0176	10	10	10	132.25785365461	133.655315096628	1176.67099044304	7.28822955295202	7.2706465338684	0.0970962955091242
g0178	10	10	10	26.4917469702807	25.3964335277102	93.6577422814804	5.59422270794141	5.52182509819863	0.104627717695738
g0180	5	0	0	0.527762897321334	1.06154597898251	1.89591707111401	3.85768180461058	3.93440617917403	0.101921257316978
g0181	10	10	10	5052.76783324556	6022.94073260705	12562108.0932036	12.3079852747616	12.3484810344125	0.706959587735982
g0183	10	8	4	9.10052851336539	9.39287490817529	30.1556859160687	4.8434658813506	4.79686723068119	0.144194196078126
g0184	2	1	0	0	0.642226483392813	2.77386416497363	3.6491789472175	3.78468786801128	0.0945969537943632
