Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
77,14,0.3632,33.05,59.03,0.2752,0.314743,"g2753 g0487 g3937 g3968 g0499 g2233 g3509 g0333 g0120 g0055 g2381 g3728 g0890 g0561"
78,17,0.3784,51.46,77.58,0.3156,0.0339623,"g2286 g2968 g4039 g1090 g1316 g2382 g3188 g2647 g2521 g0371 g4392 g4582 g3511 g0389 g1298 g1442 g3497"
79,17,0.4262,57.96,67.78,0.3629,0.00293028,"g1423 g2431 g1577 g4825 g1896 g1095 g1186 g0923 g3924 g1229 g1819 g2601 g3042 g3602 g3945 g0492 g1148"
80,14,0.4037,36.74,68.92,0.2749,0.348063,"g0912 g1194 g2400 g1339 g4231 g2100 g0910 g3997 g4183 g1106 g0417 g1475 g2375 g0985"
81,18,0.3062,46.84,70.42,0.3056,0.0423265,"g3899 g1439 g0344 g3030 g4336 g2074 g4819 g2302 g1636 g0539 g0281 g2412 g4695 g3011 g0892 g0134 g3767 g3935"
82,6,0.6129,9.193,22.99,0.2081,0.810761,"g3302 g0422 g2422 g2438 g4589 g0322"
83,18,0.4455,68.16,67.97,0.3960,0.000209591,"g3778 g1092 g0485 g2851 g1110 g1220 g0643 g4284 g3690 g2045 g4317 g3750 g3240 g2182 g4731 g2703 g0326 g1974"
84,9,0.5559,20.01,48.15,0.2323,0.786612,"g0544 g4706 g2749 g4214 g3694 g2577 g4928 g0378 g1136"
85,11,0.6958,38.27,28.00,0.4336,0.000250478,"g3248 g3068 g3028 g3645 g3779 g4719 g0722 g3157 g3461 g3558 g1541"
86,19,0.3042,52.01,35.84,0.4133,1.15178e-05,"g0989 g2972 g1088 g3180 g0746 g4040 g3218 g4310 g4380 g0984 g1116 g0747 g3726 g2534 g1604 g2335 g3442 g2931 g0568"
87,8,0.8683,24.31,44.57,0.2864,0.318251,"g0072 g2875 g3716 g0091 g1211 g4254 g1579 g3447"
88,19,0.3400,58.14,98.39,0.2989,0.115656,"g1228 g2610 g0304 g2490 g1052 g3263 g1341 g4044 g4451 g0057 g0144 g3755 g1180 g3482 g3762 g0563 g0355 g0361 g0748"
89,7,0.7960,16.72,32.41,0.2648,0.399149,"g0684 g3288 g0744 g0619 g0806 g0439 g0761"
90,13,0.5317,41.47,52.38,0.3460,0.00598851,"g4580 g2544 g0644 g4668 g0606 g3751 g1682 g3939 g2188 g3660 g4362 g2893 g0438"
91,9,0.5798,20.87,36.48,0.2770,0.329422,"g1052 g2764 g3917 g2535 g4226 g4123 g2678 g0443 g2169"
92,9,0.5227,18.82,43.40,0.2346,0.670578,"g3604 g0851 g1314 g0292 g4063 g0968 g2596 g3856 g2920"
93,7,0.8995,18.89,33.96,0.2826,0.261452,"g3566 g3737 g2069 g2219 g1828 g1916 g0006"
94,13,0.6238,48.66,49.00,0.3935,0.000429061,"g4740 g4681 g2313 g2474 g4652 g2478 g3290 g2420 g3747 g3323 g0715 g4272 g1958"
95,7,0.8111,17.03,39.20,0.2425,0.695360,"g0166 g4302 g4301 g4075 g2321 g2445 g1254"
96,18,0.4534,69.37,31.02,0.5086,1.53025e-06,"g2704 g3309 g3641 g4018 g3665 g0617 g2099 g1028 g4621 g4995 g4292 g2154 g4671 g4622 g4602 g4180 g3161 g0631"
97,18,0.3133,47.94,70.17,0.3111,0.0369218,"g3899 g0344 g3030 g4336 g2074 g4819 g2302 g0539 g0269 g0281 g2412 g4695 g2070 g0865 g0134 g3767 g3935 g2409"
98,19,0.3653,62.46,72.47,0.3612,0.000892543,"g0519 g3191 g2057 g1749 g0883 g0303 g2760 g2376 g4905 g4972 g1292 g3172 g0162 g1876 g4811 g4945 g2665 g4240 g1035"
99,6,0.8946,13.42,34.01,0.2258,0.885117,"g0700 g0041 g3800 g0562 g0048 g0951"
100,20,0.4199,79.78,36.63,0.5101,3.45964e-07,"g4119 g2047 g4291 g3178 g1490 g4849 g4523 g4988 g3312 g3334 g1894 g2656 g1874 g3099 g4644 g3657 g2503 g3698 g0935 g0854"
101,11,0.5343,29.39,48.37,0.2946,0.118609,"g3596 g1272 g0001 g2381 g2912 g3468 g1498 g0229 g2208 g0549 g3449"
102,6,0.5397,8.095,13.90,0.2381,0.344460,"g3535 g2842 g0823 g2351 g4004 g3797"
103,17,0.3808,51.79,82.20,0.3083,0.0648210,"g0174 g4289 g4779 g1745 g0456 g4172 g0667 g1513 g0214 g3263 g3021 g1243 g4654 g0113 g4647 g0345 g2547"
104,5,0.8709,8.709,21.66,0.2157,0.582734,"g3439 g4625 g2560 g0860 g3567"
105,22,0.3100,71.61,67.05,0.3920,1.58613e-06,"g4105 g1265 g2921 g2362 g1157 g4857 g2543 g2978 g3114 g3813 g2132 g1323 g3907 g3955 g0704 g2662 g2175 g2956 g1200 g0613 g2263 g3221"
106,10,0.6016,27.07,48.15,0.2843,0.236338,"g3018 g1402 g3968 g0390 g0156 g2577 g4098 g2596 g2669 g1782"
107,6,1.116,16.74,28.61,0.2918,0.287587,"g0319 g0479 g0526 g3951 g4529 g4863"
108,22,0.3032,70.04,73.40,0.3737,0.000224764,"g3484 g1109 g2570 g2588 g2268 g2193 g2960 g4825 g3924 g2601 g2697 g4149 g0688 g0681 g0629 g2854 g0116 g0759 g1111 g2848 g2202 g0971"
109,16,0.5112,61.35,47.54,0.4354,6.52729e-05,"g1721 g1676 g1814 g3079 g1997 g0350 g2086 g1466 g0597 g0100 g1860 g2954 g0466 g4233 g3987 g3815"
110,10,0.8106,36.48,29.84,0.4226,0.00180526,"g1844 g4876 g0003 g4358 g1380 g1695 g2721 g0575 g1948 g2861"
111,14,0.3406,30.99,27.55,0.3581,0.00312958,"g3819 g3381 g1994 g3621 g3402 g3779 g3212 g4270 g4271 g4765 g1853 g2411 g3067 g4084"
112,18,0.3570,54.63,82.66,0.3152,0.0344390,"g2546 g1227 g4280 g2574 g4951 g1403 g3215 g3208 g0269 g1009 g0311 g1796 g2042 g4317 g2070 g0865 g0134 g2409"
113,10,0.5834,26.25,41.88,0.2979,0.0702325,"g4957 g3522 g1235 g1375 g4373 g1641 g2631 g4419 g1124 g0410"
114,19,0.3004,51.37,108.0,0.2603,0.511645,"g2246 g2285 g3899 g1439 g4109 g4710 g2864 g0166 g0753 g3860 g0263 g2093 g2412 g0892 g3056 g3935 g0675 g4333 g2241"
115,9,0.6975,25.11,36.82,0.3142,0.0926632,"g2524 g2863 g0071 g4287 g4766 g2597 g3889 g4088 g0449"
116,7,0.8776,18.43,36.12,0.2689,0.550837,"g2594 g2299 g1230 g1599 g4111 g2259 g2550"
117,11,0.5145,28.30,44.51,0.2985,0.235050,"g4343 g1550 g2748 g4045 g2790 g4345 g0168 g1991 g4037 g4578 g3139"
118,8,0.6976,19.53,44.07,0.2454,0.681749,"g1770 g0538 g2941 g0706 g0352 g3270 g1515 g1857"
119,12,0.3266,21.55,40.71,0.2499,0.107247,"g0668 g4786 g0820 g0551 g4677 g2535 g2538 g3438 g0443 g3969 g3437 g0978"
120,42,0.3068,264.1,121.1,0.5629,0.00000,"g2324 g0052 g0197 g0203 g0231 g0518 g0605 g0653 g0791 g0928 g0930 g0945 g0959 g0967 g1043 g1127 g1164 g1168 g1236 g1274 g1457 g1530 g1615 g1898 g1932 g1966 g2031 g2176 g2305 g2328 g2410 g2414 g2532 g2650 g2706 g2830 g2876 g2938 g2950 g2981 g3013 g3106"
121,12,0.5308,35.03,32.89,0.3811,0.00304947,"g2607 g3895 g3336 g3787 g2493 g2603 g4980 g3584 g4066 g3170 g4669 g0723"
122,3,1.172,3.517,8.095,0.1997,0.500000,"g2919 g3612 g2448"
123,4,1.274,7.641,14.01,0.2577,0.442617,"g4198 g1575 g2880 g3144"
124,9,0.5554,19.99,40.08,0.2561,0.464818,"g0663 g4838 g4017 g3842 g2511 g4206 g2887 g2687 g0970"
125,5,0.8723,8.723,19.06,0.2309,0.734565,"g2228 g1617 g1662 g1312 g2304"
126,14,0.5117,46.57,52.79,0.3656,0.00204116,"g4059 g2772 g4757 g3219 g0972 g4182 g0185 g0980 g4166 g4305 g1753 g2701 g1398 g3541"
127,9,0.7520,27.07,32.57,0.3487,0.00403574,"g2782 g0261 g0279 g2512 g2762 g1911 g3816 g3867 g4132"
128,5,1.304,13.04,26.94,0.2608,0.661948,"g2758 g1767 g2705 g1418 g2027"
129,14,0.5101,46.42,42.11,0.3983,0.000219879,"g3445 g3988 g1239 g0893 g4705 g2424 g3846 g3479 g3975 g4234 g3957 g3969 g4804 g0978"
130,11,0.5021,27.61,44.53,0.2933,0.235050,"g3545 g4391 g2483 g0125 g2982 g0588 g1555 g4076 g3262 g2166 g3553"
131,6,0.6967,10.45,27.18,0.2106,0.913257,"g2624 g3209 g2385 g3306 g1984 g4439"
132,6,0.8848,13.27,33.68,0.2251,0.851023,"g2615 g3299 g2611 g2952 g0381 g0685"
133,18,0.3072,47.00,69.21,0.3088,0.0298843,"g3256 g4331 g0946 g0500 g0939 g3554 g4267 g3644 g2997 g3008 g0425 g0699 g1417 g4483 g1196 g2791 g4473 g3817"
134,6,0.6966,10.45,32.31,0.1908,0.967224,"g1188 g3086 g1765 g0342 g4202 g3133"
135,6,0.8598,12.90,28.35,0.2422,0.712413,"g1934 g2024 g4172 g2052 g0907 g3608"
136,9,0.6753,24.31,30.09,0.3358,0.0466988,"g2191 g0925 g1887 g3424 g0677 g2353 g2364 g1630 g2793"
137,9,0.5319,19.15,43.74,0.2367,0.464818,"g2035 g1587 g3858 g1531 g2875 g3053 g3615 g1373 g3473"
138,13,0.4132,32.23,53.09,0.2895,0.140757,"g1517 g3794 g1572 g2198 g1093 g2482 g2049 g0730 g2343 g0570 g2530 g1219 g2828"
139,16,0.3920,47.04,59.57,0.3394,0.00440449,"g0556 g0434 g1042 g0706 g1512 g2167 g1075 g0521 g2696 g4185 g3007 g3275 g4283 g3272 g2369 g3300"
140,6,0.9291,13.94,30.25,0.2481,0.531907,"g2367 g2992 g1601 g1337 g2605 g2223"
141,10,0.5862,26.38,32.07,0.3363,0.0156045,"g1191 g0346 g3001 g2006 g0091 g2673 g4335 g3758 g0745 g2425"
142,4,1.072,6.432,14.30,0.2239,0.764757,"g4334 g0414 g2064 g2229"
143,11,0.5354,29.45,52.79,0.2825,0.215354,"g0700 g3351 g2838 g3919 g0041 g3800 g2797 g0148 g0562 g0048 g0951"
144,19,0.3113,53.24,98.20,0.2810,0.215273,"g2246 g2285 g4109 g4710 g2456 g2789 g2546 g3082 g2864 g0166 g0753 g0263 g2093 g1897 g0892 g3056 g0675 g4333 g2241"
145,17,0.3002,40.82,58.61,0.3059,0.0789478,"g2063 g2941 g4076 g1064 g1440 g2195 g0736 g1532 g4846 g0552 g1735 g0035 g2166 g1474 g2487 g4005 g1559"
146,8,0.6845,19.17,20.51,0.3442,0.00906450,"g3027 g1324 g4689 g2348 g2427 g2367 g3069 g1518"
147,16,0.4882,58.58,44.85,0.4325,0.000159543,"g0760 g1432 g3798 g4032 g2679 g1352 g2013 g3989 g3721 g0100 g1807 g1253 g0734 g4904 g1633 g3115"
148,8,0.4733,13.25,31.42,0.2184,0.681749,"g4313 g3604 g0768 g3520 g1815 g0292 g0968 g2920"
149,9,0.4898,17.63,28.41,0.2753,0.0926632,"g2633 g0784 g0415 g4768 g2965 g1580 g3908 g3396 g2370"
150,10,0.6010,27.05,24.13,0.3800,0.00566485,"g4692 g3200 g2037 g1739 g1925 g1582 g3963 g3198 g2191 g3251"
151,21,0.3051,64.07,83.06,0.3388,0.00176105,"g2594 g2610 g2299 g1230 g1599 g4111 g2259 g0304 g2490 g3755 g2599 g3917 g0820 g0551 g3266 g4870 g4226 g3762 g0563 g0355 g3478"
152,14,0.5892,53.61,42.90,0.4306,0.000154943,"g0684 g3288 g2091 g0619 g0806 g0439 g2668 g4441 g4762 g3029 g4341 g0761 g1746 g3533"
