run	condition	tissue
Cold_Control_NAC_3_L	Cold_Control_NAC_L	Leaf
Salt_10mM_NAC_1_S	Salt_10mM_NAC_S	Shoot
Salt_10mM_NAC_2_S	Salt_10mM_NAC_S	Shoot
Salt_10mM_NAC_3_S	Salt_10mM_NAC_S	Shoot
Salt_10mM_NAC_4_S	Salt_10mM_NAC_S	Shoot
Salt_10mM_NAC_5_S	Salt_10mM_NAC_S	Shoot
Cold_Control_NAC_4_L	Cold_Control_NAC_L	Leaf
Cold_Control_NAC_5_L	Cold_Control_NAC_L	Leaf
Salt_100mM_NAC_1_L	Salt_100mM_NAC_L	Leaf
Salt_100mM_NAC_2_L	Salt_100mM_NAC_L	Leaf
Salt_100mM_NAC_3_L	Salt_100mM_NAC_L	Leaf
Salt_100mM_NAC_4_L	Salt_100mM_NAC_L	Leaf
Salt_100mM_NAC_5_L	Salt_100mM_NAC_L	Leaf
Cold_17C_NAC_1_L	Cold_17C_NAC_L	Leaf
Cold_17C_NAC_2_L	Cold_17C_NAC_L	Leaf
Cold_17C_NAC_3_L	Cold_17C_NAC_L	Leaf
Salt_100mM_NAC_1_S	Salt_100mM_NAC_S	Shoot
Salt_100mM_NAC_2_S	Salt_100mM_NAC_S	Shoot
Salt_100mM_NAC_3_S	Salt_100mM_NAC_S	Shoot
Salt_100mM_NAC_4_S	Salt_100mM_NAC_S	Shoot
Salt_100mM_NAC_5_S	Salt_100mM_NAC_S	Shoot
Cold_17C_NAC_4_L	Cold_17C_NAC_L	Leaf
Cold_17C_NAC_5_L	Cold_17C_NAC_L	Leaf
